dataset,retriever,diffusion_alpha,hop,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,topk_changed_rate,ordering_changed_rate
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.8,5,0.09403437815975733,0.6006066734074823,0.1890798786653185,0,0,0,0.003033367037411527,0.017189079878665317
2wikimultihopqa,intfloat/e5-small-v2,0.1,1,0.0,0.0,0.0,0,0,0,0.1102123356926188,0.35995955510616784
2wikimultihopqa,intfloat/e5-small-v2,0.1,2,0.0,0.0,0.0,0,0,0,0.09302325581395349,0.3114256825075834
2wikimultihopqa,intfloat/e5-small-v2,0.1,3,0.0,0.0,0.0,0,0,0,0.0980788675429727,0.29524772497472196
2wikimultihopqa,intfloat/e5-small-v2,0.1,4,0.0,0.0,0.0,0,0,0,0.0717896865520728,0.2891809908998989
2wikimultihopqa,intfloat/e5-small-v2,0.1,5,0.0,0.0,0.0,0,0,0,0.06572295247724974,0.2537917087967644
2wikimultihopqa,intfloat/e5-small-v2,0.2,1,0.0,0.0,0.0,0,0,0,0.20525783619817997,0.5540950455005056
2wikimultihopqa,intfloat/e5-small-v2,0.2,2,0.0,0.0,0.0,0,0,0,0.17391304347826086,0.5247724974721941
2wikimultihopqa,intfloat/e5-small-v2,0.2,3,0.0,0.0,0.0,0,0,0,0.134479271991911,0.4287158746208291
2wikimultihopqa,intfloat/e5-small-v2,0.2,4,0.0,0.0,0.0,0,0,0,0.1172901921132457,0.41253791708796766
2wikimultihopqa,intfloat/e5-small-v2,0.2,5,0.0,0.0,0.0,0,0,0,0.1365015166835187,0.3316481294236603
2wikimultihopqa,intfloat/e5-small-v2,0.4,1,0.0,0.0,0.0,0,0,0,0.3943377148634985,0.8190091001011123
2wikimultihopqa,intfloat/e5-small-v2,0.4,2,0.0,0.0,0.0,0,0,0,0.2982810920121335,0.7007077856420627
2wikimultihopqa,intfloat/e5-small-v2,0.4,3,0.0,0.0,0.0,0,0,0,0.16885743174924167,0.4671385237613751
2wikimultihopqa,intfloat/e5-small-v2,0.4,4,0.0,0.0,0.0,0,0,0,0.10212335692618807,0.32861476238624876
2wikimultihopqa,intfloat/e5-small-v2,0.4,5,0.0,0.0,0.0,0,0,0,0.0717896865520728,0.24671385237613752
2wikimultihopqa,intfloat/e5-small-v2,0.6,1,0.0,0.0,0.0,0,0,0,0.5793731041456016,0.9403437815975733
2wikimultihopqa,intfloat/e5-small-v2,0.6,2,0.0,0.0,0.0,0,0,0,0.2780586450960566,0.6663296258847321
2wikimultihopqa,intfloat/e5-small-v2,0.6,3,0.0,0.0,0.0,0,0,0,0.14155712841253792,0.41253791708796766
2wikimultihopqa,intfloat/e5-small-v2,0.6,4,0.0,0.0,0.0,0,0,0,0.06370070778564206,0.224469160768453
2wikimultihopqa,intfloat/e5-small-v2,0.6,5,0.0,0.0,0.0,0,0,0,0.04954499494438827,0.14256825075834176
2wikimultihopqa,intfloat/e5-small-v2,0.8,1,0.0,0.0,0.0,0,0,0,0.7280080889787665,0.974721941354904
2wikimultihopqa,intfloat/e5-small-v2,0.8,2,0.0,0.0,0.0,0,0,0,0.2972699696663296,0.6905965621840243
2wikimultihopqa,intfloat/e5-small-v2,0.8,3,0.0,0.0,0.0,0,0,0,0.12537917087967643,0.38119312436804853
